station_id,station_name,center_lat,center_lon,n_kickboards,grid_size_m,demand
VS_0001,가상정거장_1,37.50990990990991,127.04312816416791,32,100,78
VS_0002,가상정거장_2,37.51441441441442,127.03290811756783,17,100,40
VS_0003,가상정거장_3,37.51711711711712,127.04199260343457,15,100,35
VS_0004,가상정거장_4,37.53963963963964,127.07151718250147,14,100,34
VS_0005,가상정거장_5,37.5045045045045,127.02495919243442,14,100,34
VS_0006,가상정거장_6,37.5009009009009,127.0374503605012,14,100,34
VS_0007,가상정거장_7,37.51711711711712,127.04085704270122,14,100,34
VS_0008,가상정거장_8,37.53963963963964,127.00792578143428,12,100,31
VS_0009,가상정거장_9,37.49189189189189,127.00679022070095,12,100,30
VS_0010,가상정거장_10,37.502702702702706,127.02495919243442,11,100,29
VS_0011,가상정거장_11,37.502702702702706,127.04312816416791,11,100,29
VS_0012,가상정거장_12,37.48828828828829,127.01473914583434,11,100,28
VS_0013,가상정거장_13,37.53963963963964,127.07719498616818,11,100,28
VS_0014,가상정거장_14,37.5,127.0351792390345,11,100,28
VS_0015,가상정거장_15,37.542342342342344,127.07833054690153,11,100,27
VS_0016,가상정거장_16,37.494594594594595,127.02950143536779,10,100,26
VS_0017,가상정거장_17,37.54684684684685,127.0749238647015,10,100,26
VS_0018,가상정거장_18,37.513513513513516,127.10104176156838,10,100,25
VS_0019,가상정거장_19,37.53963963963964,127.07833054690153,9,100,24
VS_0020,가상정거장_20,37.51081081081081,127.0215525102344,9,100,24
VS_0021,가상정거장_21,37.52522522522523,127.02836587463446,9,100,24
VS_0022,가상정거장_22,37.47837837837838,127.01019690290097,9,100,24
VS_0023,가상정거장_23,37.48468468468469,127.01701026730103,9,100,23
VS_0024,가상정거장_24,37.47027027027027,127.03858592123454,9,100,23
VS_0025,가상정거장_25,37.5009009009009,127.03631479976785,9,100,23
VS_0026,가상정거장_26,37.53963963963964,127.07038162176814,9,100,22
VS_0027,가상정거장_27,37.4990990990991,127.03177255683448,9,100,22
VS_0028,가상정거장_28,37.494594594594595,127.01587470656769,9,100,22
VS_0029,가상정거장_29,37.50990990990991,127.04426372490126,9,100,22
VS_0030,가상정거장_30,37.516216216216215,127.02041694950105,8,100,21
VS_0031,가상정거장_31,37.486486486486484,127.04653484636793,8,100,21
VS_0032,가상정거장_32,37.46936936936937,127.03972148196787,8,100,21
VS_0033,가상정거장_33,37.53783783783784,127.08741503276826,8,100,21
VS_0034,가상정거장_34,37.498198198198196,127.02836587463446,8,100,21
VS_0035,가상정거장_35,37.527027027027025,127.02836587463446,8,100,21
VS_0036,가상정거장_36,37.512612612612614,127.10104176156838,8,100,21
VS_0037,가상정거장_37,37.51441441441442,127.03177255683448,8,100,21
VS_0038,가상정거장_38,37.49189189189189,127.03063699610114,8,100,20
VS_0039,가상정거장_39,37.505405405405405,127.04880596783462,8,100,20
VS_0040,가상정거장_40,37.5045045045045,127.04994152856796,8,100,20
VS_0041,가상정거장_41,37.498198198198196,127.02723031390111,8,100,20
VS_0042,가상정거장_42,37.50630630630631,127.02495919243442,8,100,20
VS_0043,가상정거장_43,37.50630630630631,127.03404367830116,8,100,20
VS_0044,가상정거장_44,37.5009009009009,127.02609475316777,7,100,19
VS_0045,가상정거장_45,37.49009009009009,127.03063699610114,7,100,19
VS_0046,가상정거장_46,37.505405405405405,127.02382363170108,7,100,19
VS_0047,가상정거장_47,37.501801801801804,127.03631479976785,7,100,19
VS_0048,가상정거장_48,37.513513513513516,127.03063699610114,7,100,19
VS_0049,가상정거장_49,37.5036036036036,127.03063699610114,7,100,19
VS_0050,가상정거장_50,37.483783783783785,127.03404367830116,7,100,19
